"","Season","Competition","Matchday","Date","Venue","Club","Opponent","Result","Playing_Position","Minute","At_score","Type","Goal_assist"
"30","07/08","LaLiga","5","9/26/07","H","FC Barcelona","Real Zaragoza","4:01","RW",5,1,"Left-footed shot","Thierry Henry"
"31","07/08","LaLiga","5","9/26/07","H","FC Barcelona","Real Zaragoza","4:01","RW",10,2.01,"Left-footed shot","Deco"
"32","07/08","LaLiga","6","9/29/07","A","FC Barcelona","Levante UD","1:04","RW",50,0.04,"Left-footed shot","Deco"
"33","07/08","UEFA Champions League","Group Stage","10-02/07","A","FC Barcelona","VfB Stuttgart","0:02","RW",66,0.02,"Deflected shot on goal","Thierry Henry"
"34","07/08","LaLiga","7","10/07/07","H","FC Barcelona","Atletico de Madrid","3:00","RW",19,2,"Left-footed shot","Ronaldinho Gaacho"
"35","07/08","LaLiga","9","10/28/07","H","FC Barcelona","UD Almera","2:00","RW",80,2,"Penalty",""
"36","07/08","UEFA Champions League","Group Stage","11/07/07","H","FC Barcelona","Rangers FC","2:00","RW",41,2,"Left-footed shot","Ronaldinho Gaacho"
"37","07/08","LaLiga","13","11/24/07","H","FC Barcelona","Recreativo Huelva","3:00","RW",81,3,"Penalty",""
"38","07/08","UEFA Champions League","Group Stage","11/27/07","A","FC Barcelona","Olympique Lyon","2:02","RW",58,1.02,"Penalty",""
"39","07/08","UEFA Champions League","last 16","2/20/08","A","FC Barcelona","Celtic FC","2:03","RW",18,1.01,"Left-footed shot","Deco"
"40","07/08","UEFA Champions League","last 16","2/20/08","A","FC Barcelona","Celtic FC","2:03","RW",79,2.03,"Left-footed shot",""
"41","07/08","LaLiga","25","2/24/08","H","FC Barcelona","Levante UD","5:01","RW",44,2.01,"Left-footed shot","Xavi"
"42","07/08","LaLiga","35","05-04/08","H","FC Barcelona","Valencia CF","6:00","RW",5,1,"Penalty",""
"43","08/09","LaLiga","2","9/13/08","H","FC Barcelona","Racing Santander","1:01","RW",70,1,"Penalty",""
"44","08/09","LaLiga","3","9/21/08","A","FC Barcelona","Sporting GijÃ³n","1:06","RW",85,1.05,"Left-footed shot","Andres Iniesta"
"45","08/09","LaLiga","3","9/21/08","A","FC Barcelona","Sporting GijÃ³n","1:06","RW",89,1.06,"Header","Xavi"
"46","08/09","LaLiga","5","9/27/08","A","FC Barcelona","RCD Espanyol Barcelona","1:02","RW",90,1.02,"Penalty",""
"47","08/09","UEFA Champions League","Group Stage","10-01/08","A","FC Barcelona","Shakhtar Donetsk","1:02","RW",87,1.01,"Right-footed shot","Bojan Krkic"
"48","08/09","UEFA Champions League","Group Stage","10-01/08","A","FC Barcelona","Shakhtar Donetsk","1:02","RW",902,1.02,"Left-footed shot","Xavi"
"49","08/09","LaLiga","6","10-04/08","H","FC Barcelona","Atletico de Madrid","6:01","RW",8,3,"Direct free kick",""
"50","08/09","UEFA Champions League","Group Stage","10/22/08","A","FC Barcelona","FC Basel 1893","0:05","CF",4,0.01,"Left-footed shot","Dani Alves"
"51","08/09","LaLiga","9","11-01/08","A","FC Barcelona","Malaga CF","1:04","RW",19,1.02,"Left-footed shot",""
"52","08/09","UEFA Champions League","Group Stage","11-04/08","H","FC Barcelona","FC Basel 1893","1:01","RW",61,1,"Left-footed shot","Thierry Henry"
"53","08/09","Copa del Rey","Fifth Round","11/12/08","H","FC Barcelona","Benidorm CD","1:00","RW",86,1,"Penalty rebound",""
"54","08/09","LaLiga","11","11/16/08","A","FC Barcelona","Recreativo Huelva","0:02","RW",51,0.01,"Left-footed shot","Xavi"
"55","08/09","UEFA Champions League","Group Stage","11/26/08","A","FC Barcelona","Sporting CP","2:05","RW",49,0.03,"Left-footed shot","Dani Alves"
"56","08/09","LaLiga","13","11/29/08","A","FC Barcelona","Sevilla FC","0:03","RW",78,0.02,"Left-footed shot","Xavi"
"57","08/09","LaLiga","13","11/29/08","A","FC Barcelona","Sevilla FC","0:03","RW",902,0.03,"Left-footed shot","Aleksandr Hleb"
"58","08/09","LaLiga","15","12/13/08","H","FC Barcelona","Real Madrid","2:00","RW",89,2,"Counter attack goal","Thierry Henry"
"59","08/09","Copa del Rey","Round of 16","01/06/09","A","FC Barcelona","Atletico de Madrid","1:03","RW",11,0.01,"Left-footed shot","Dani Alves"
"60","08/09","Copa del Rey","Round of 16","01/06/09","A","FC Barcelona","Atletico de Madrid","1:03","RW",57,0.02,"Penalty",""
"61","08/09","Copa del Rey","Round of 16","01/06/09","A","FC Barcelona","Atletico de Madrid","1:03","RW",79,1.03,"Right-footed shot","Andres Iniesta"
"62","08/09","LaLiga","18","01/11/09","A","FC Barcelona","CA Osasuna","2:03","RW",84,2.03,"Left-footed shot","Dani Alves"
"63","08/09","LaLiga","19","1/17/09","H","FC Barcelona","Deportivo de La Coruaa","5:00","RW",21,1,"Left-footed shot",""
"64","08/09","LaLiga","20","1/24/09","H","FC Barcelona","CD Numancia","4:01","RW",49,1,"Left-footed shot","Dani Alves"
"65","08/09","LaLiga","20","1/24/09","H","FC Barcelona","CD Numancia","4:01","RW",76,4.01,"Right-footed shot",""
"66","08/09","LaLiga","21","02-01/09","A","FC Barcelona","Racing Santander","1:02","RW",65,1.01,"Right-footed shot","Xavi"
"67","08/09","LaLiga","21","02-01/09","A","FC Barcelona","Racing Santander","1:02","RW",81,1.02,"Right-footed shot",""
"68","08/09","LaLiga","25","03-01/09","A","FC Barcelona","Atletico de Madrid","4:03","RW",30,0.02,"Left-footed shot",""
"69","08/09","Copa del Rey","Semi-Finals","03-04/09","A","FC Barcelona","RCD Mallorca","1:01","RW",81,1.01,"Left-footed shot","Gerard Pique"
"70","08/09","LaLiga","26","03/07/09","H","FC Barcelona","Athletic Bilbao","2:00","RW",31,2,"Penalty",""
"71","08/09","UEFA Champions League","last 16","03/11/09","H","FC Barcelona","Olympique Lyon","5:02","RW",40,3,"Left-footed shot","Samuel Etoo"
"72","08/09","LaLiga","28","3/22/09","H","FC Barcelona","Malaga CF","6:00","RW",26,2,"Right-footed shot","Xavi"
"73","08/09","UEFA Champions League","Quarter-Finals","04/08/09","H","FC Barcelona","Bayern Munich","4:00","RW",9,1,"Left-footed shot","Samuel Etoo"
"74","08/09","UEFA Champions League","Quarter-Finals","04/08/09","H","FC Barcelona","Bayern Munich","4:00","RW",38,3,"Right-footed shot","Thierry Henry"
"75","08/09","LaLiga","31","4/18/09","A","FC Barcelona","Getafe CF","0:01","RW",18,0.01,"Left-footed shot","Xavi"
"76","08/09","LaLiga","33","4/25/09","A","FC Barcelona","Valencia CF","2:02","RW",23,0.01,"Left-footed shot","Andres Iniesta"
"77","08/09","LaLiga","34","05-02/09","A","FC Barcelona","Real Madrid","2:06","CF",35,1.03,"Left-footed shot","Xavi"
"78","08/09","LaLiga","34","05-02/09","A","FC Barcelona","Real Madrid","2:06","CF",75,2.05,"Left-footed shot","Xavi"
"79","08/09","Copa del Rey","Final","5/13/09","H","FC Barcelona","Athletic Bilbao","4:01","RW",55,2.01,"Left-footed shot","Samuel Etoo"
"80","08/09","UEFA Champions League","Final","5/27/09","H","FC Barcelona","Manchester United","2:00","CF",70,2,"Header","Xavi"
"81","09/10","Supercopa","final","8/23/09","H","FC Barcelona","Athletic Bilbao","3:00","RW",50,1,"Right-footed shot","Zlatan Ibrahimovic"
"82","09/10","Supercopa","final","8/23/09","H","FC Barcelona","Athletic Bilbao","3:00","RW",68,2,"Penalty",""
"83","09/10","LaLiga","2","09/12/09","A","FC Barcelona","Getafe CF","0:02","RW",78,0.02,"Header","Zlatan Ibrahimovic"
"84","09/10","LaLiga","3","9/19/09","H","FC Barcelona","Atletico de Madrid","5:02","RW",15,2,"Left-footed shot","Xavi"
"85","09/10","LaLiga","3","9/19/09","H","FC Barcelona","Atletico de Madrid","5:02","RW",903,5.02,"Right-footed shot","Dani Alves"
"86","09/10","LaLiga","4","9/22/09","A","FC Barcelona","Racing Santander","1:04","RW",23,0.02,"Left-footed shot","Xavi"
"87","09/10","LaLiga","4","9/22/09","A","FC Barcelona","Racing Santander","1:04","RW",63,0.04,"Left-footed shot","Xavi"
"88","09/10","UEFA Champions League","Group Stage","9/29/09","H","FC Barcelona","Dynamo Kyiv","2:00","RW",25,1,"Left-footed shot","Andres Iniesta"
"89","09/10","LaLiga","8","10/25/09","H","FC Barcelona","Real Zaragoza","6:01","RW",80,5.01,"Left-footed shot","Andres Iniesta"
"90","09/10","LaLiga","10","11/07/09","H","FC Barcelona","RCD Mallorca","4:02","RW",86,4.01,"Penalty",""
"91","09/10","Copa del Rey","5th round","11/10/09","H","FC Barcelona","Cultural Leonesa","5:00","RW",64,4,"Left-footed shot","Pedro"
"92","09/10","LaLiga","13","12/05/09","A","FC Barcelona","Deportivo de La Coruaa","1:03","RW",26,0.01,"Left-footed shot","Dani Alves"
"93","09/10","LaLiga","13","12/05/09","A","FC Barcelona","Deportivo de La Coruaa","1:03","RW",80,1.02,"Header","Pedro"
"94","09/10","UEFA Champions League","Group Stage","12/09/09","A","FC Barcelona","Dynamo Kyiv","1:02","RW",86,1.02,"Direct free kick",""
"95","09/10","FIFA Club World Cup","Semi-Finals","12/16/09","A","FC Barcelona","CF Atlante","1:03","RW",55,1.02,"Left-footed shot","Zlatan Ibrahimovic"
"96","09/10","FIFA Club World Cup","Final","12/19/09","A","FC Barcelona","Club Estudiantes de La Plata","1:2 AET","RW",110,1.02,"Chest","Dani Alves"
"97","09/10","LaLiga","17","01/10/10","A","FC Barcelona","CD Tenerife","0:05","RW",36,0.01,"Left-footed shot","Bojan Krkic"
"98","09/10","LaLiga","17","01/10/10","A","FC Barcelona","CD Tenerife","0:05","RW",45,0.03,"Right-footed shot","Bojan Krkic"
"99","09/10","LaLiga","17","01/10/10","A","FC Barcelona","CD Tenerife","0:05","RW",75,0.04,"Left-footed shot","Bojan Krkic"
"100","09/10","LaLiga","18","1/16/10","H","FC Barcelona","Sevilla FC","4:00","RW",85,3,"Left-footed shot","Dani Alves"
"101","09/10","LaLiga","18","1/16/10","H","FC Barcelona","Sevilla FC","4:00","RW",901,4,"Left-footed shot","Ã‰ric Abidal"
"102","09/10","LaLiga","19","1/23/10","A","FC Barcelona","Real Valladolid CF","0:03","RW",54,0.03,"Left-footed shot","Zlatan Ibrahimovic"
"103","09/10","LaLiga","21","02/06/10","H","FC Barcelona","Getafe CF","2:01","RW",7,1,"Left-footed shot","Yaya Toure"
"104","09/10","LaLiga","24","2/27/10","H","FC Barcelona","Malaga CF","2:01","RW",84,2.01,"Right-footed shot","Dani Alves"
"105","09/10","LaLiga","25","03/06/10","A","FC Barcelona","UD Almera","2:02","RW",42,1.01,"Direct free kick",""
"106","09/10","LaLiga","25","03/06/10","A","FC Barcelona","UD Almera","2:02","RW",66,2.02,"Left-footed shot",""
"107","09/10","LaLiga","26","3/14/10","H","FC Barcelona","Valencia CF","3:00","CF",56,1,"Left-footed shot","Xavi"
"108","09/10","LaLiga","26","3/14/10","H","FC Barcelona","Valencia CF","3:00","CF",80,2,"Left-footed shot","Thierry Henry"
"109","09/10","LaLiga","26","3/14/10","H","FC Barcelona","Valencia CF","3:00","CF",82,3,"Right-footed shot","Thierry Henry"
"110","09/10","UEFA Champions League","last 16","3/17/10","H","FC Barcelona","VfB Stuttgart","4:00","CF",13,1,"Left-footed shot","Yaya Toure"
"111","09/10","UEFA Champions League","last 16","3/17/10","H","FC Barcelona","VfB Stuttgart","4:00","CF",56,3,"Left-footed shot","Dani Alves"
"112","09/10","LaLiga","27","3/21/10","A","FC Barcelona","Real Zaragoza","2:04","RW",4,0.01,"Header","Pedro"
"113","09/10","LaLiga","27","3/21/10","A","FC Barcelona","Real Zaragoza","2:04","RW",65,0.02,"Left-footed shot",""
"114","09/10","LaLiga","27","3/21/10","A","FC Barcelona","Real Zaragoza","2:04","RW",78,0.03,"Left-footed shot","Andres Iniesta"
"115","09/10","LaLiga","30","04-03/10","H","FC Barcelona","Athletic Bilbao","4:01","CF",67,4,"Left-footed shot","Pedro"
"116","09/10","UEFA Champions League","Quarter-Finals","04/06/10","H","FC Barcelona","Arsenal FC","4:01","CF",21,1.01,"Left-footed shot",""
"117","09/10","UEFA Champions League","Quarter-Finals","04/06/10","H","FC Barcelona","Arsenal FC","4:01","CF",37,2.01,"Right-footed shot","Pedro"
"118","09/10","UEFA Champions League","Quarter-Finals","04/06/10","H","FC Barcelona","Arsenal FC","4:01","CF",42,3.01,"Left-footed shot","Seydou Keita"
"119","09/10","UEFA Champions League","Quarter-Finals","04/06/10","H","FC Barcelona","Arsenal FC","4:01","CF",88,4.01,"Left-footed shot","Xavi"
"120","09/10","LaLiga","31","04/10/10","A","FC Barcelona","Real Madrid","0:02","CF",32,0.01,"Right-footed shot","Xavi"
"121","09/10","LaLiga","35","05-01/10","A","FC Barcelona","Villarreal CF","1:04","RW",18,0.01,"Left-footed shot","Xavi"
"122","09/10","LaLiga","35","05-01/10","A","FC Barcelona","Villarreal CF","1:04","RW",87,1.04,"Left-footed shot","Dani Alves"
"123","09/10","LaLiga","36","05-04/10","H","FC Barcelona","CD Tenerife","4:01","RW",16,1,"Right-footed shot","Zlatan Ibrahimovic"
"124","09/10","LaLiga","36","05-04/10","H","FC Barcelona","CD Tenerife","4:01","RW",903,4.01,"Right-footed shot","Dani Alves"
"125","09/10","LaLiga","37","05/08/10","A","FC Barcelona","Sevilla FC","2:03","RW",5,0.01,"Left-footed shot","Maxwell"
"126","09/10","LaLiga","38","5/16/10","H","FC Barcelona","Real Valladolid CF","4:00","RW",61,3,"Right-footed shot","Yaya Toure"
"127","09/10","LaLiga","38","5/16/10","H","FC Barcelona","Real Valladolid CF","4:00","RW",74,4,"Left-footed shot","Yaya Toure"
"128","10/11","Supercopa","final","8/21/10","H","FC Barcelona","Sevilla FC","4:00","RW",25,2,"Left-footed shot","Xavi"
"129","10/11","Supercopa","final","8/21/10","H","FC Barcelona","Sevilla FC","4:00","RW",43,3,"Right-footed shot","Dani Alves"
"130","10/11","Supercopa","final","8/21/10","H","FC Barcelona","Sevilla FC","4:00","RW",901,4,"Left-footed shot","Andres Iniesta"
"131","10/11","LaLiga","1","8/29/10","A","FC Barcelona","Racing Santander","0:03","RW",3,0.01,"Left-footed shot","Andres Iniesta"
"132","10/11","UEFA Champions League","Group Stage","9/14/10","H","FC Barcelona","Panathinaikos Athens","5:01","CF",22,1.01,"Left-footed shot","Xavi"
"133","10/11","UEFA Champions League","Group Stage","9/14/10","H","FC Barcelona","Panathinaikos Athens","5:01","CF",45,3.01,"Left-footed shot","Pedro"
"134","10/11","LaLiga","3","9/19/10","A","FC Barcelona","Atletico de Madrid","1:02","CF",12,0.01,"Left-footed shot","Pedro"
"135","10/11","LaLiga","6","10-03/10","H","FC Barcelona","RCD Mallorca","1:01","CF",20,1,"Left-footed shot","Pedro"
"136","10/11","UEFA Champions League","Group Stage","10/20/10","H","FC Barcelona","FC Copenhagen","2:00","CF",18,1,"Left-footed shot","Andres Iniesta"
"137","10/11","UEFA Champions League","Group Stage","10/20/10","H","FC Barcelona","FC Copenhagen","2:00","CF",901,2,"Left-footed shot","Ã‰ric Abidal"
"138","10/11","LaLiga","8","10/23/10","A","FC Barcelona","Real Zaragoza","0:02","CF",41,0.01,"Left-footed shot","David Villa"
"139","10/11","LaLiga","8","10/23/10","A","FC Barcelona","Real Zaragoza","0:02","CF",65,0.02,"Left-footed shot",""
"140","10/11","LaLiga","9","10/30/10","H","FC Barcelona","Sevilla FC","5:00","RW",4,1,"Left-footed shot",""
"141","10/11","LaLiga","9","10/30/10","H","FC Barcelona","Sevilla FC","5:00","RW",63,4,"Left-footed shot",""
"142","10/11","UEFA Champions League","Group Stage","11-02/10","A","FC Barcelona","FC Copenhagen","1:01","CF",31,0.01,"Right-footed shot",""
"143","10/11","LaLiga","10","11/07/10","A","FC Barcelona","Getafe CF","1:03","CF",23,0.01,"Left-footed shot","David Villa"
"144","10/11","Copa del Rey","4th round","11/10/10","H","FC Barcelona","Club Atletico de Ceuta","5:01","RW",67,5.01,"Left-footed shot","Thiago"
"145","10/11","LaLiga","11","11/13/10","H","FC Barcelona","Villarreal CF","3:01","CF",58,2.01,"Right-footed shot","Pedro"
"146","10/11","LaLiga","11","11/13/10","H","FC Barcelona","Villarreal CF","3:01","CF",83,3.01,"Left-footed shot","Pedro"
"147","10/11","LaLiga","12","11/20/10","A","FC Barcelona","UD Almera","0:08","CF",16,0.01,"Left-footed shot","David Villa"
"148","10/11","LaLiga","12","11/20/10","A","FC Barcelona","UD Almera","0:08","CF",36,0.05,"Tap-in",""
"149","10/11","LaLiga","12","11/20/10","A","FC Barcelona","UD Almera","0:08","CF",67,0.07,"Tap-in","David Villa"
"150","10/11","UEFA Champions League","Group Stage","11/24/10","A","FC Barcelona","Panathinaikos Athens","0:03","CF",63,0.02,"Left-footed shot","Adriano"
"151","10/11","LaLiga","14","12-04/10","A","FC Barcelona","CA Osasuna","0:03","CF",64,0.02,"Left-footed shot","David Villa"
"152","10/11","LaLiga","14","12-04/10","A","FC Barcelona","CA Osasuna","0:03","CF",82,0.03,"Penalty",""
"153","10/11","LaLiga","15","12/12/10","H","FC Barcelona","Real Sociedad","5:00","CF",46,3,"Left-footed shot","Dani Alves"
"154","10/11","LaLiga","15","12/12/10","H","FC Barcelona","Real Sociedad","5:00","CF",86,4,"Left-footed shot","Bojan Krkic"
"155","10/11","LaLiga","18","01/08/11","A","FC Barcelona","Deportivo de La Coruaa","0:04","CF",51,0.02,"Direct free kick",""
"156","10/11","Copa del Rey","Quarter-Finals","01/12/11","H","FC Barcelona","Real Betis Balompie","5:00","CF",44,1,"Left-footed shot","Andres Iniesta"
"157","10/11","Copa del Rey","Quarter-Finals","01/12/11","H","FC Barcelona","Real Betis Balompie","5:00","CF",63,2,"Left-footed shot",""
"158","10/11","Copa del Rey","Quarter-Finals","01/12/11","H","FC Barcelona","Real Betis Balompie","5:00","CF",73,3,"Left-footed shot","Xavi"
"159","10/11","Copa del Rey","Quarter-Finals","1/19/11","A","FC Barcelona","Real Betis Balompie","3:01","RW",37,2.01,"Left-footed shot","Xavi"
"160","10/11","LaLiga","20","1/22/11","H","FC Barcelona","Racing Santander","3:00","CF",33,2,"Penalty",""
"161","10/11","Copa del Rey","Semi-Finals","1/26/11","H","FC Barcelona","UD Almera","5:00","CF",9,1,"Left-footed shot","Pedro"
"162","10/11","Copa del Rey","Semi-Finals","1/26/11","H","FC Barcelona","UD Almera","5:00","CF",15,3,"Left-footed shot","Andres Iniesta"
"163","10/11","LaLiga","21","1/29/11","A","FC Barcelona","Hercules CF","0:03","CF",87,0.02,"Left-footed shot","Dani Alves"
"164","10/11","LaLiga","21","1/29/11","A","FC Barcelona","Hercules CF","0:03","CF",89,0.03,"Left-footed shot","Dani Alves"
"165","10/11","LaLiga","22","02/05/11","H","FC Barcelona","Atletico de Madrid","3:00","CF",16,1,"Left-footed shot","Dani Alves"
"166","10/11","LaLiga","22","02/05/11","H","FC Barcelona","Atletico de Madrid","3:00","CF",28,2,"Left-footed shot","Pedro"
"167","10/11","LaLiga","22","02/05/11","H","FC Barcelona","Atletico de Madrid","3:00","CF",78,3,"Left-footed shot","David Villa"
"168","10/11","LaLiga","24","2/20/11","H","FC Barcelona","Athletic Bilbao","2:01","CF",78,2.01,"Right-footed shot","Dani Alves"
"169","10/11","LaLiga","25","2/26/11","A","FC Barcelona","RCD Mallorca","0:03","CF",38,0.01,"Header","Seydou Keita"
"170","10/11","LaLiga","26","03-02/11","A","FC Barcelona","Valencia CF","0:01","CF",77,0.01,"Left-footed shot","Adriano"
"171","10/11","UEFA Champions League","last 16","03/08/11","H","FC Barcelona","Arsenal FC","3:01","RW",49,1,"Left-footed shot","Andres Iniesta"
"172","10/11","UEFA Champions League","last 16","03/08/11","H","FC Barcelona","Arsenal FC","3:01","RW",72,3.01,"Penalty",""
"173","10/11","LaLiga","31","04/09/11","H","FC Barcelona","UD Almera","3:01","CF",52,1.01,"Penalty",""
"174","10/11","LaLiga","31","04/09/11","H","FC Barcelona","UD Almera","3:01","CF",901,3.01,"Left-footed shot","Seydou Keita"
"175","10/11","UEFA Champions League","Quarter-Finals","04/12/11","A","FC Barcelona","Shakhtar Donetsk","0:01","CF",42,0.01,"Left-footed shot","Dani Alves"
"176","10/11","LaLiga","32","4/16/11","A","FC Barcelona","Real Madrid","1:01","CF",53,0.01,"Penalty",""
"177","10/11","LaLiga","33","4/23/11","H","FC Barcelona","CA Osasuna","2:00","CF",87,2,"Right-footed shot","Dani Alves"
"178","10/11","UEFA Champions League","Semi-Finals","4/27/11","A","FC Barcelona","Real Madrid","0:02","CF",76,0.01,"Left-footed shot","Ibrahim Afellay"
"179","10/11","UEFA Champions League","Semi-Finals","4/27/11","A","FC Barcelona","Real Madrid","0:02","CF",87,0.02,"Solo run","Sergio Busquets"
"180","10/11","UEFA Champions League","Final","5/28/11","H","FC Barcelona","Manchester United","3:01","CF",54,2.01,"Left-footed shot","Andres Iniesta"
"181","11-Dec","Supercopa","final","8/14/11","A","FC Barcelona","Real Madrid","2:02","CF",45,1.02,"Left-footed shot","Thiago"
"182","11-Dec","Supercopa","final","8/17/11","H","FC Barcelona","Real Madrid","3:02","CF",44,2.01,"Right-footed shot","Gerard Pique"
"183","11-Dec","Supercopa","final","8/17/11","H","FC Barcelona","Real Madrid","3:02","CF",88,3.02,"Left-footed shot","Adriano"
"184","11-Dec","UEFA Super Cup","Final","8/26/11","H","FC Barcelona","FC Porto","2:00","CF",39,1,"Left-footed shot",""
"185","11-Dec","LaLiga","2","8/29/11","H","FC Barcelona","Villarreal CF","5:00","CF",51,4,"Right-footed shot","Andres Iniesta"
"186","11-Dec","LaLiga","2","8/29/11","H","FC Barcelona","Villarreal CF","5:00","CF",74,5,"Left-footed shot","Thiago"
"187","11-Dec","LaLiga","4","9/17/11","H","FC Barcelona","CA Osasuna","8:00","CF",5,1,"Left-footed shot","Dani Alves"
"188","11-Dec","LaLiga","4","9/17/11","H","FC Barcelona","CA Osasuna","8:00","CF",41,5,"Left-footed shot","Cesc Fabregas"
"189","11-Dec","LaLiga","4","9/17/11","H","FC Barcelona","CA Osasuna","8:00","CF",79,8,"Left-footed shot","Cesc Fabregas"
"190","11-Dec","LaLiga","6","9/24/11","H","FC Barcelona","Atletico de Madrid","5:00","CF",26,3,"Left-footed shot","Pedro"
"191","11-Dec","LaLiga","6","9/24/11","H","FC Barcelona","Atletico de Madrid","5:00","CF",78,4,"Left-footed shot","Dani Alves"
"192","11-Dec","LaLiga","6","9/24/11","H","FC Barcelona","Atletico de Madrid","5:00","CF",901,5,"Left-footed shot","David Villa"
"193","11-Dec","UEFA Champions League","Group Stage","9/28/11","A","FC Barcelona","BATE Borisov","0:05","CF",38,0.03,"Header",""
"194","11-Dec","UEFA Champions League","Group Stage","9/28/11","A","FC Barcelona","BATE Borisov","0:05","CF",56,0.04,"Left-footed shot","Dani Alves"
"195","11-Dec","LaLiga","8","10/15/11","H","FC Barcelona","Racing Santander","3:00","CF",11,1,"Right-footed shot","Andres Iniesta"
"196","11-Dec","LaLiga","8","10/15/11","H","FC Barcelona","Racing Santander","3:00","CF",69,3,"Right-footed shot",""
"197","11-Dec","LaLiga","11","10/29/11","H","FC Barcelona","RCD Mallorca","5:00","CF",13,1,"Penalty",""
"198","11-Dec","LaLiga","11","10/29/11","H","FC Barcelona","RCD Mallorca","5:00","CF",21,2,"Right-footed shot","Adriano"
"199","11-Dec","LaLiga","11","10/29/11","H","FC Barcelona","RCD Mallorca","5:00","CF",30,3,"Left-footed shot","Dani Alves"
